CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python profiles/memory/search.py
MEM 5.703125 1700466760.3137
MEM 5.687500 1700466760.4170
MEM 5.656250 1700466760.5184
MEM 5.656250 1700466760.6235
MEM 5.656250 1700466760.7238
MEM 5.656250 1700466760.8289
MEM 5.640625 1700466760.9302
MEM 5.640625 1700466761.0309
MEM 5.640625 1700466761.1314
MEM 5.640625 1700466761.2325
MEM 4.265625 1700466761.3373
MEM 4.265625 1700466761.4425
MEM 4.265625 1700466761.5477
MEM 4.265625 1700466761.6528
MEM 4.296875 1700466761.7559
MEM 5.484375 1700466761.8610
MEM 7.015625 1700466761.9624
MEM 8.359375 1700466762.0676
MEM 9.203125 1700466762.1727
MEM 10.671875 1700466762.2737
MEM 12.921875 1700466762.3789
MEM 12.921875 1700466762.4841
MEM 12.921875 1700466762.5907
MEM 12.921875 1700466762.6940
